iter	Passed	Remaining
548	14204	11669
549	14231	11643
550	14256	11617
551	14282	11591
552	14308	11566
553	14334	11539
554	14359	11513
555	14384	11486
556	14410	11461
557	14436	11435
558	14465	11412
559	14490	11385
560	14515	11358
561	14541	11332
562	14567	11306
563	14592	11280
564	14618	11254
565	14643	11228
566	14669	11202
567	14696	11177
568	14720	11150
569	14749	11126
570	14774	11100
571	14801	11075
572	14829	11050
573	14854	11024
574	14880	10998
575	14906	10973
576	14932	10946
577	14958	10921
578	14983	10895
579	15009	10869
580	15034	10842
581	15061	10817
582	15086	10791
583	15113	10766
584	15139	10740
585	15165	10713
586	15189	10686
587	15215	10661
588	15241	10635
589	15266	10609
590	15292	10583
591	15318	10557
592	15344	10531
593	15369	10504
594	15393	10477
595	15419	10451
596	15449	10429
597	15475	10403
598	15493	10371
599	15518	10345
600	15544	10319
601	15571	10294
602	15600	10270
603	15672	10275
604	15699	10250
605	15725	10224
606	15759	10203
607	15791	10181
608	15817	10155
609	15847	10131
610	15873	10106
611	15900	10080
612	15928	10055
613	15955	10030
614	15983	10005
615	16009	9980
616	16054	9965
617	16089	9945
618	16116	9919
619	16149	9898
620	16176	9872
621	16202	9846
622	16228	9820
623	16254	9794
624	16279	9767
625	16305	9741
626	16331	9715
627	16358	9690
628	16385	9664
629	16412	9638
630	16443	9615
631	16469	9590
632	16497	9564
633	16522	9538
634	16549	9512
635	16575	9486
636	16601	9460
637	16628	9434
638	16653	9408
639	16679	9381
640	16705	9355
641	16733	9331
642	16760	9305
643	16787	9279
644	16814	9254
645	16842	9229
646	16909	9225
647	16944	9204
648	16971	9178
649	17001	9154
650	17032	9131
651	17059	9105
652	17085	9079
653	17111	9052
654	17137	9026
655	17163	9000
656	17189	8974
657	17215	8947
658	17241	8921
659	17268	8895
660	17294	8869
661	17319	8842
662	17345	8816
663	17371	8790
664	17397	8763
665	17426	8739
666	17451	8712
667	17477	8686
668	17502	8659
669	17528	8633
670	17553	8606
671	17579	8580
672	17606	8554
673	17632	8528
674	17658	8502
675	17683	8475
676	17710	8449
677	17739	8425
678	17767	8399
679	17794	8373
680	17822	8348
681	17850	8323
682	17875	8296
683	17903	8271
684	17929	8244
685	17955	8218
686	17982	8192
687	18006	8165
688	18030	8138
689	18057	8112
690	18084	8086
691	18110	8060
692	18138	8035
693	18165	8009
694	18191	7983
695	18218	7957
696	18244	7931
697	18269	7904
698	18295	7878
699	18324	7853
700	18351	7827
701	18377	7801
702	18405	7775
703	18436	7751
704	18464	7726
705	18489	7699
706	18515	7673
707	18542	7647
708	18579	7625
709	18611	7602
710	18638	7575
711	18665	7549
712	18692	7524
713	18721	7498
714	18749	7473
715	18775	7447
716	18803	7421
717	18833	7396
718	18860	7371
719	18886	7344
720	18913	7318
721	18944	7294
722	18970	7268
723	18996	7241
724	19022	7215
725	19049	7189
726	19075	7162
727	19102	7137
728	19128	7110
729	19155	7084
730	19181	7058
731	19207	7032
732	19233	7005
733	19258	6979
734	19283	6952
735	19308	6925
736	19333	6899
737	19359	6872
738	19385	6846
739	19414	6821
740	19440	6795
741	19466	6768
742	19490	6741
743	19517	6715
744	19543	6689
745	19569	6663
746	19596	6637
747	19623	6611
748	19653	6586
749	19683	6561
750	19711	6535
751	19740	6510
752	19767	6484
753	19794	6458
754	19823	6432
755	19849	6406
756	19876	6380
757	19903	6354
758	19930	6328
759	19955	6301
760	19982	6275
761	20007	6248
762	20032	6222
763	20058	6196
764	20084	6169
765	20111	6143
766	20138	6117
767	20165	6091
768	20190	6065
769	20217	6039
770	20243	6012
771	20268	5986
772	20294	5959
773	20320	5933
774	20345	5906
775	20371	5880
776	20397	5854
777	20426	5828
778	20450	5801
779	20474	5774
780	20499	5748
781	20525	5721
782	20551	5695
783	20577	5669
784	20603	5642
785	20627	5616
786	20653	5589
787	20681	5563
788	20709	5538
789	20737	5512
790	20762	5485
791	20788	5459
792	20817	5434
793	20842	5407
794	20867	5380
795	20893	5354
796	20918	5328
797	20944	5301
798	20970	5275
799	20995	5248
800	21021	5222
801	21047	5196
802	21073	5169
803	21098	5143
804	21123	5116
805	21150	5090
806	21177	5064
807	21204	5038
808	21232	5012
809	21264	4987
810	21289	4961
811	21314	4934
812	21341	4908
813	21367	4882
814	21394	4856
815	21423	4830
816	21448	4804
817	21474	4777
818	21499	4751
819	21526	4725
820	21553	4699
821	21578	4672
822	21604	4646
823	21631	4620
824	21658	4594
825	21685	4568
826	21715	4542
827	21741	4516
828	21772	4491
829	21798	4464
830	21827	4439
831	21855	4413
832	21882	4386
833	21909	4360
834	21936	4334
835	21963	4308
836	21989	4282
837	22017	4256
838	22042	4229
839	22068	4203
840	22095	4177
841	22121	4151
842	22149	4125
843	22176	4098
844	22202	4072
845	22229	4046
846	22256	4020
847	22286	3994
848	22312	3968
849	22338	3942
850	22365	3915
851	22393	3889
852	22419	3863
853	22446	3837
854	22472	3811
855	22501	3785
856	22527	3758
857	22553	3732
858	22580	3706
859	22607	3680
860	22633	3654
861	22659	3627
862	22684	3601
863	22715	3575
864	22741	3549
865	22769	3523
866	22797	3497
867	22826	3471
868	22854	3445
869	22880	3418
870	22912	3393
871	22938	3367
872	22964	3340
873	22989	3314
874	23015	3287
875	23042	3261
876	23071	3235
877	23097	3209
878	23123	3183
879	23148	3156
880	23174	3130
881	23199	3103
882	23225	3077
883	23251	3051
884	23277	3024
885	23305	2998
886	23331	2972
887	23356	2945
888	23382	2919
889	23411	2893
890	23437	2867
891	23464	2841
892	23490	2814
893	23518	2788
894	23544	2762
895	23569	2735
896	23595	2709
897	23620	2682
898	23645	2656
899	23671	2630
900	23699	2604
901	23726	2577
902	23751	2551
903	23777	2525
904	23804	2498
905	23830	2472
906	23855	2446
907	23882	2419
908	23908	2393
909	23939	2367
910	23969	2341
911	23994	2315
912	24021	2289
913	24049	2262
914	24075	2236
915	24101	2210
916	24126	2183
917	24154	2157
918	24180	2131
919	24206	2104
920	24234	2078
921	24259	2052
922	24284	2025
923	24310	1999
924	24336	1973
925	24361	1946
926	24390	1920
927	24417	1894
928	24443	1868
929	24470	1841
930	24496	1815
931	24521	1789
932	24546	1762
933	24572	1736
934	24597	1709
935	24622	1683
936	24649	1657
937	24677	1631
938	24706	1605
939	24733	1578
940	24758	1552
941	24784	1525
942	24813	1499
943	24838	1473
944	24864	1447
945	24890	1420
946	24916	1394
947	24941	1368
948	24968	1341
949	24995	1315
950	25022	1289
951	25052	1263
952	25084	1237
953	25133	1211
954	25160	1185
955	25188	1159
956	25215	1132
957	25240	1106
958	25266	1080
959	25292	1053
960	25321	1027
961	25348	1001
962	25374	974
963	25403	948
964	25429	922
965	25453	895
966	25479	869
967	25503	843
968	25528	816
969	25553	790
970	25579	763
971	25606	737
972	25632	711
973	25659	684
974	25685	658
975	25731	632
976	25759	606
977	25787	580
978	25829	554
979	25864	527
980	25900	501
981	25935	475
982	25971	449
983	26015	423
984	26041	396
985	26066	370
986	26091	343
987	26117	317
988	26143	290
989	26169	264
990	26195	237
991	26222	211
992	26248	185
993	26275	158
994	26300	132
995	26327	105
996	26353	79
997	26383	52
998	26408	26
999	26433	0
